Folder,ours_DINOv2,ours_CLIP,ours_DINOv3,CCPL_DINOv2,CCPL_CLIP,CCPL_DINOv3,MCCNet_DINOv2,MCCNet_CLIP,MCCNet_DINOv3,CSBNet_DINOv2,CSBNet_CLIP,CSBNet_DINOv3
antimonocromatismo_stylized_city_ferry,0.9396,0.9731,0.9480,0.9208,0.9795,0.9659,0.8995,0.9761,0.9383,0.9003,0.9751,0.9487
antimonocromatismo_stylized_city_night,0.9831,0.9844,0.9856,0.9678,0.9761,0.9809,0.9582,0.9800,0.9773,0.9629,0.9756,0.9780
antimonocromatismo_stylized_color_run,0.8900,0.9443,0.8729,0.8799,0.9365,0.8641,0.8790,0.9346,0.8742,0.8592,0.9258,0.8514
antimonocromatismo_stylized_fruit_water,0.8284,0.9521,0.7869,0.7484,0.9473,0.8032,0.7762,0.9360,0.7752,0.7957,0.9243,0.7519
antimonocromatismo_stylized_india,0.9529,0.9751,0.9461,0.9573,0.9556,0.9517,0.9361,0.9761,0.9436,0.9499,0.9653,0.9435
antimonocromatismo_stylized_kid_football,0.7946,0.9126,0.8312,0.8328,0.8706,0.8430,0.7795,0.9126,0.8199,0.8002,0.8745,0.8332
antimonocromatismo_stylized_rally,0.7814,0.9355,0.6646,0.8061,0.9316,0.6702,0.8300,0.9390,0.6778,0.8168,0.9434,0.6461
antimonocromatismo_stylized_street,0.9601,0.9834,0.9534,0.9634,0.9795,0.9539,0.9488,0.9795,0.9257,0.9519,0.9800,0.9461
antimonocromatismo_stylized_violin1,0.9830,0.9639,0.9707,0.9755,0.9595,0.9534,0.9687,0.9590,0.9574,0.9779,0.9556,0.9580
antimonocromatismo_stylized_walk,0.9004,0.9170,0.8950,0.8789,0.9077,0.8602,0.9121,0.9370,0.8484,0.8740,0.9023,0.8030
oxen_stylized_city_ferry,0.9251,0.9702,0.9487,0.9271,0.9785,0.9655,0.8453,0.9795,0.9372,0.8975,0.9707,0.9422
oxen_stylized_city_night,0.9796,0.9751,0.9808,0.9683,0.9751,0.9779,0.9709,0.9849,0.9772,0.9653,0.9668,0.9788
oxen_stylized_color_run,0.8755,0.9395,0.9048,0.8653,0.9233,0.8852,0.8659,0.9287,0.8975,0.8357,0.8955,0.8481
oxen_stylized_fruit_water,0.7637,0.9277,0.7911,0.7231,0.9365,0.7823,0.7576,0.9224,0.7721,0.7707,0.9312,0.8010
oxen_stylized_india,0.9567,0.9595,0.9284,0.9551,0.9536,0.9532,0.9644,0.9639,0.9494,0.9506,0.9556,0.9369
